Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Dallas Cowboys,New York Giants,24,17,433,1,269,1
Chicago Bears,Indianapolis Colts,41,21,428,1,356,5
New England Patriots,Tennessee Titans,34,13,390,0,284,2
Philadelphia Eagles,Cleveland Browns,17,16,456,5,210,4
Detroit Lions,St. Louis Rams,27,23,429,3,250,0
Houston Texans,Miami Dolphins,30,10,337,0,275,4
Atlanta Falcons,Kansas City Chiefs,40,24,376,0,393,3
New York Jets,Buffalo Bills,48,28,384,1,390,4
Washington Redskins,New Orleans Saints,40,32,459,0,358,3
Minnesota Vikings,Jacksonville Jaguars,26,23,389,1,355,1
San Francisco 49ers,Green Bay Packers,30,22,377,0,324,1
Arizona Cardinals,Seattle Seahawks,20,16,253,2,254,2
Tampa Bay Buccaneers,Carolina Panthers,16,10,258,0,301,2
Denver Broncos,Pittsburgh Steelers,31,19,334,1,284,1
Baltimore Ravens,Cincinnati Bengals,44,13,430,0,322,2
San Diego Chargers,Oakland Raiders,22,14,258,0,321,1
Green Bay Packers,Chicago Bears,23,10,321,2,168,4
Miami Dolphins,Oakland Raiders,35,13,452,0,396,1
Cincinnati Bengals,Cleveland Browns,34,27,375,1,439,1
Buffalo Bills,Kansas City Chiefs,35,17,379,0,422,3
Arizona Cardinals,New England Patriots,20,18,242,2,387,1
New York Giants,Tampa Bay Buccaneers,41,34,604,3,307,2
Carolina Panthers,New Orleans Saints,35,27,463,1,486,2
Indianapolis Colts,Minnesota Vikings,23,20,278,0,327,1
Philadelphia Eagles,Baltimore Ravens,24,23,486,4,325,2
Houston Texans,Jacksonville Jaguars,27,7,411,0,117,1
St. Louis Rams,Washington Redskins,31,28,452,3,373,1
Seattle Seahawks,Dallas Cowboys,27,7,315,0,296,2
San Diego Chargers,Tennessee Titans,38,10,416,1,212,1
Pittsburgh Steelers,New York Jets,27,10,331,0,219,1
San Francisco 49ers,Detroit Lions,27,19,349,1,296,1
Atlanta Falcons,Denver Broncos,27,21,275,0,336,4
New York Giants,Carolina Panthers,36,7,405,0,327,5
Buffalo Bills,Cleveland Browns,24,14,344,1,240,2
Kansas City Chiefs,New Orleans Saints,27,24,510,3,288,1
Jacksonville Jaguars,Indianapolis Colts,22,17,333,0,437,1
Tennessee Titans,Detroit Lions,44,41,437,2,583,1
New York Jets,Miami Dolphins,23,20,388,2,381,2
Cincinnati Bengals,Washington Redskins,38,31,478,2,381,1
Chicago Bears,St. Louis Rams,23,6,274,1,160,2
Minnesota Vikings,San Francisco 49ers,24,13,344,2,280,3
Dallas Cowboys,Tampa Bay Buccaneers,16,10,297,3,166,2
Atlanta Falcons,San Diego Chargers,27,3,384,1,280,4
Arizona Cardinals,Philadelphia Eagles,27,6,292,0,307,3
Oakland Raiders,Pittsburgh Steelers,34,31,321,1,433,2
Houston Texans,Denver Broncos,31,25,436,2,375,1
Baltimore Ravens,New England Patriots,31,30,503,1,396,0
Seattle Seahawks,Green Bay Packers,14,12,238,0,268,0
Baltimore Ravens,Cleveland Browns,23,16,438,1,357,2
St. Louis Rams,Seattle Seahawks,19,13,286,1,319,3
New England Patriots,Buffalo Bills,52,28,580,2,438,6
Houston Texans,Tennessee Titans,38,14,297,0,325,3
Atlanta Falcons,Carolina Panthers,30,28,426,1,404,1
San Diego Chargers,Kansas City Chiefs,37,20,293,1,349,6
San Francisco 49ers,New York Jets,34,0,381,0,145,4
Minnesota Vikings,Detroit Lions,20,13,227,0,341,1
Cincinnati Bengals,Jacksonville Jaguars,27,10,382,2,212,2
Arizona Cardinals,Miami Dolphins,24,21,297,2,480,4
Denver Broncos,Oakland Raiders,37,6,503,1,237,0
Washington Redskins,Tampa Bay Buccaneers,24,22,474,0,373,1
Green Bay Packers,New Orleans Saints,28,27,421,2,474,0
Philadelphia Eagles,New York Giants,19,17,422,0,366,1
Chicago Bears,Dallas Cowboys,34,18,360,1,430,5
St. Louis Rams,Arizona Cardinals,17,3,242,1,282,1
Pittsburgh Steelers,Philadelphia Eagles,16,14,343,0,246,2
New York Giants,Cleveland Browns,41,27,502,2,375,3
Baltimore Ravens,Kansas City Chiefs,9,6,298,2,338,4
Indianapolis Colts,Green Bay Packers,30,27,464,1,356,1
Miami Dolphins,Cincinnati Bengals,17,13,279,2,298,3
Atlanta Falcons,Washington Redskins,24,17,421,2,316,2
Seattle Seahawks,Carolina Panthers,16,12,310,3,190,2
Chicago Bears,Jacksonville Jaguars,41,3,501,1,189,3
Minnesota Vikings,Tennessee Titans,30,7,433,2,267,2
New England Patriots,Denver Broncos,31,21,444,1,394,3
San Francisco 49ers,Buffalo Bills,45,3,621,1,204,2
New Orleans Saints,San Diego Chargers,31,24,404,1,427,2
Houston Texans,New York Jets,23,17,378,1,286,2
Tennessee Titans,Pittsburgh Steelers,26,23,359,1,412,1
Miami Dolphins,St. Louis Rams,17,14,192,0,462,1
Tampa Bay Buccaneers,Kansas City Chiefs,38,10,463,2,260,2
Atlanta Falcons,Oakland Raiders,23,20,286,3,474,3
Baltimore Ravens,Dallas Cowboys,31,29,316,0,481,1
New York Jets,Indianapolis Colts,35,9,351,0,298,4
Cleveland Browns,Cincinnati Bengals,34,24,328,1,438,4
Detroit Lions,Philadelphia Eagles,26,23,449,1,357,3
Seattle Seahawks,New England Patriots,24,23,368,2,475,2
Buffalo Bills,Arizona Cardinals,19,16,306,2,332,2
New York Giants,San Francisco 49ers,26,3,342,0,314,3
Washington Redskins,Minnesota Vikings,38,26,361,1,421,3
Green Bay Packers,Houston Texans,42,24,427,0,321,3
Denver Broncos,San Diego Chargers,35,24,365,3,307,6
San Francisco 49ers,Seattle Seahawks,13,6,313,1,251,1
Green Bay Packers,St. Louis Rams,30,20,402,0,354,1
New Orleans Saints,Tampa Bay Buccaneers,35,28,458,1,513,0
Tennessee Titans,Buffalo Bills,35,34,390,0,382,2
Houston Texans,Baltimore Ravens,43,13,420,0,176,2
Indianapolis Colts,Cleveland Browns,17,13,321,1,319,0
Dallas Cowboys,Carolina Panthers,19,14,312,1,328,2
New York Giants,Washington Redskins,27,23,393,2,480,4
Minnesota Vikings,Arizona Cardinals,21,14,209,2,356,2
Oakland Raiders,Jacksonville Jaguars,26,23,351,3,209,1
New England Patriots,New York Jets,29,26,381,1,403,2
Pittsburgh Steelers,Cincinnati Bengals,24,17,431,2,185,1
Chicago Bears,Detroit Lions,13,7,296,0,340,4
Tampa Bay Buccaneers,Minnesota Vikings,36,17,416,0,369,3
Pittsburgh Steelers,Washington Redskins,27,12,355,0,255,0
Atlanta Falcons,Philadelphia Eagles,30,17,392,0,270,0
Detroit Lions,Seattle Seahawks,28,24,415,1,369,2
Chicago Bears,Carolina Panthers,23,22,210,3,416,2
Green Bay Packers,Jacksonville Jaguars,24,15,238,1,341,1
Miami Dolphins,New York Jets,30,9,236,1,363,2
Indianapolis Colts,Tennessee Titans,19,13,457,1,339,0
New England Patriots,St. Louis Rams,45,7,473,0,326,2
Cleveland Browns,San Diego Chargers,7,6,250,0,265,1
Oakland Raiders,Kansas City Chiefs,26,16,344,1,299,4
New York Giants,Dallas Cowboys,29,24,293,2,434,6
Denver Broncos,New Orleans Saints,34,14,530,1,252,1
San Francisco 49ers,Arizona Cardinals,24,3,317,0,265,1
San Diego Chargers,Kansas City Chiefs,31,13,339,2,289,4
Indianapolis Colts,Miami Dolphins,23,20,516,0,365,0
Denver Broncos,Cincinnati Bengals,31,23,359,2,366,1
Houston Texans,Buffalo Bills,21,9,374,0,304,1
Green Bay Packers,Arizona Cardinals,31,17,384,1,340,2
Baltimore Ravens,Cleveland Browns,25,15,282,0,290,2
Detroit Lions,Jacksonville Jaguars,31,14,434,0,279,2
Chicago Bears,Tennessee Titans,51,20,365,1,339,5
