Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Carolina Panthers,Washington Redskins,21,13,330,0,337,0
Tampa Bay Buccaneers,Oakland Raiders,42,32,515,1,424,3
Seattle Seahawks,Minnesota Vikings,30,20,385,0,287,2
Pittsburgh Steelers,New York Giants,24,20,349,2,182,1
Atlanta Falcons,Dallas Cowboys,19,13,453,0,377,0
New Orleans Saints,Philadelphia Eagles,28,13,371,2,447,2
Indianapolis Colts,Jacksonville Jaguars,27,10,359,2,337,3
Denver Broncos,Carolina Panthers,36,14,360,2,250,2
Baltimore Ravens,Oakland Raiders,55,20,419,1,422,3
New Orleans Saints,Atlanta Falcons,31,27,440,1,454,1
New England Patriots,Buffalo Bills,37,31,347,0,481,3
Tampa Bay Buccaneers,San Diego Chargers,34,24,279,0,426,2
Cincinnati Bengals,New York Giants,31,13,275,1,318,4
Tennessee Titans,Miami Dolphins,37,3,293,0,255,4
Minnesota Vikings,Detroit Lions,34,24,403,0,368,2
Seattle Seahawks,New York Jets,28,7,363,2,185,3
San Francisco 49ers,St. Louis Rams,24,24,341,0,458,1
Dallas Cowboys,Philadelphia Eagles,38,23,294,0,369,2
Houston Texans,Chicago Bears,13,6,215,2,249,4
Pittsburgh Steelers,Kansas City Chiefs,16,13,249,1,290,1
Buffalo Bills,Miami Dolphins,19,14,281,0,184,3
New York Jets,St. Louis Rams,27,13,289,0,281,3
Green Bay Packers,Detroit Lions,24,20,314,1,362,4
Atlanta Falcons,Arizona Cardinals,23,19,354,6,178,1
Washington Redskins,Philadelphia Eagles,31,6,361,0,257,3
Cincinnati Bengals,Kansas City Chiefs,28,6,409,0,284,1
Houston Texans,Jacksonville Jaguars,43,37,653,3,458,1
Tampa Bay Buccaneers,Carolina Panthers,27,21,403,3,331,1
Dallas Cowboys,Cleveland Browns,23,20,320,1,311,1
New Orleans Saints,Oakland Raiders,38,17,380,0,404,2
Denver Broncos,San Diego Chargers,30,23,386,2,277,3
New England Patriots,Indianapolis Colts,59,24,446,0,448,4
Baltimore Ravens,Pittsburgh Steelers,13,10,200,0,309,3
San Francisco 49ers,Chicago Bears,32,7,353,0,143,2
Houston Texans,Detroit Lions,34,31,501,1,525,1
Washington Redskins,Dallas Cowboys,38,31,437,1,458,3
New England Patriots,New York Jets,49,19,475,1,405,5
Chicago Bears,Minnesota Vikings,28,10,296,2,258,3
Cleveland Browns,Pittsburgh Steelers,20,14,238,1,242,8
Cincinnati Bengals,Oakland Raiders,34,10,415,0,218,2
Atlanta Falcons,Tampa Bay Buccaneers,24,23,424,2,326,0
Denver Broncos,Kansas City Chiefs,17,9,368,1,264,1
Indianapolis Colts,Buffalo Bills,20,13,312,2,304,1
Jacksonville Jaguars,Tennessee Titans,24,19,321,1,360,2
Miami Dolphins,Seattle Seahawks,24,21,435,1,312,0
Baltimore Ravens,San Diego Chargers,16,13,443,0,280,0
San Francisco 49ers,New Orleans Saints,31,21,375,2,290,2
St. Louis Rams,Arizona Cardinals,31,17,367,1,375,4
New York Giants,Green Bay Packers,38,10,390,0,317,2
Carolina Panthers,Philadelphia Eagles,30,22,398,0,311,3
Atlanta Falcons,New Orleans Saints,23,13,283,1,436,5
St. Louis Rams,San Francisco 49ers,16,13,293,0,339,1
Green Bay Packers,Minnesota Vikings,23,14,435,1,359,2
Houston Texans,Tennessee Titans,24,10,331,0,354,6
New England Patriots,Miami Dolphins,23,16,321,1,277,1
Buffalo Bills,Jacksonville Jaguars,34,18,344,2,236,2
New York Jets,Arizona Cardinals,7,6,289,4,137,1
Seattle Seahawks,Chicago Bears,23,17,459,1,365,0
Kansas City Chiefs,Carolina Panthers,27,21,355,0,385,0
Indianapolis Colts,Detroit Lions,35,33,459,3,451,1
Denver Broncos,Tampa Bay Buccaneers,31,23,333,1,306,1
Pittsburgh Steelers,Baltimore Ravens,23,20,366,3,288,2
Cleveland Browns,Oakland Raiders,20,17,475,2,429,1
Cincinnati Bengals,San Diego Chargers,20,13,339,3,297,2
Dallas Cowboys,Philadelphia Eagles,38,33,417,0,423,1
Washington Redskins,New York Giants,17,16,370,1,390,0
Denver Broncos,Oakland Raiders,26,13,428,1,324,2
St. Louis Rams,Buffalo Bills,15,12,285,1,281,2
New York Jets,Jacksonville Jaguars,17,10,270,2,291,2
Indianapolis Colts,Tennessee Titans,27,23,269,2,356,2
San Diego Chargers,Pittsburgh Steelers,34,24,294,0,340,2
Cleveland Browns,Kansas City Chiefs,30,7,352,0,310,1
Philadelphia Eagles,Tampa Bay Buccaneers,23,21,367,1,314,0
Dallas Cowboys,Cincinnati Bengals,20,19,288,1,336,1
Washington Redskins,Baltimore Ravens,31,28,423,1,359,2
Carolina Panthers,Atlanta Falcons,30,20,475,0,362,1
Minnesota Vikings,Chicago Bears,21,14,248,1,438,2
San Francisco 49ers,Miami Dolphins,27,13,321,0,227,1
Seattle Seahawks,Arizona Cardinals,58,0,493,1,154,8
New York Giants,New Orleans Saints,52,27,394,2,487,4
Green Bay Packers,Detroit Lions,27,20,288,1,386,2
New England Patriots,Houston Texans,42,14,419,1,323,1
Cincinnati Bengals,Philadelphia Eagles,34,13,249,2,219,5
Minnesota Vikings,St. Louis Rams,36,22,322,0,432,2
Denver Broncos,Baltimore Ravens,34,17,350,0,278,2
Houston Texans,Indianapolis Colts,29,17,417,0,272,1
Atlanta Falcons,New York Giants,34,0,394,0,256,3
Green Bay Packers,Chicago Bears,21,13,391,2,190,1
Miami Dolphins,Jacksonville Jaguars,24,3,389,1,299,0
New Orleans Saints,Tampa Bay Buccaneers,41,0,447,0,386,5
Washington Redskins,Cleveland Browns,38,21,430,1,291,2
Carolina Panthers,San Diego Chargers,31,7,372,1,164,2
Seattle Seahawks,Buffalo Bills,50,17,466,0,333,3
Arizona Cardinals,Detroit Lions,38,10,196,1,312,4
Oakland Raiders,Kansas City Chiefs,15,0,385,1,119,1
Dallas Cowboys,Pittsburgh Steelers,27,24,415,1,388,2
San Francisco 49ers,New England Patriots,41,34,388,2,520,4
Tennessee Titans,New York Jets,14,10,294,0,253,5
Atlanta Falcons,Detroit Lions,31,18,344,0,522,3
Cincinnati Bengals,Pittsburgh Steelers,13,10,267,3,280,3
Green Bay Packers,Tennessee Titans,55,7,460,0,180,2
Miami Dolphins,Buffalo Bills,24,10,301,0,381,4
New England Patriots,Jacksonville Jaguars,23,16,349,2,436,3
New Orleans Saints,Dallas Cowboys,34,31,562,0,446,1
Minnesota Vikings,Houston Texans,23,6,345,1,187,2
Indianapolis Colts,Kansas City Chiefs,20,13,288,0,507,3
St. Louis Rams,Tampa Bay Buccaneers,28,13,285,2,429,5
Washington Redskins,Philadelphia Eagles,27,20,313,1,411,2
San Diego Chargers,New York Jets,27,17,223,0,225,2
Carolina Panthers,Oakland Raiders,17,6,271,2,189,1
Denver Broncos,Cleveland Browns,34,12,457,1,233,1
Chicago Bears,Arizona Cardinals,28,13,297,1,248,3
Baltimore Ravens,New York Giants,33,14,533,0,186,0
Seattle Seahawks,San Francisco 49ers,42,13,346,1,313,2
Tennessee Titans,Jacksonville Jaguars,38,20,221,0,375,3
Indianapolis Colts,Houston Texans,28,16,265,0,352,2
Pittsburgh Steelers,Cleveland Browns,24,10,212,0,320,4
Tampa Bay Buccaneers,Atlanta Falcons,22,17,366,1,278,0
Buffalo Bills,New York Jets,28,9,334,1,332,2
Chicago Bears,Detroit Lions,26,24,389,0,327,4
Cincinnati Bengals,Baltimore Ravens,23,17,189,0,352,1
Carolina Panthers,New Orleans Saints,44,38,530,1,441,1
New York Giants,Philadelphia Eagles,42,7,397,0,317,1
San Diego Chargers,Oakland Raiders,24,21,210,0,265,1
San Francisco 49ers,Arizona Cardinals,27,13,407,0,262,2
Denver Broncos,Kansas City Chiefs,38,3,488,1,119,0
Minnesota Vikings,Green Bay Packers,37,34,444,0,405,1
New England Patriots,Miami Dolphins,28,0,443,0,256,2
Seattle Seahawks,St. Louis Rams,20,13,362,0,331,1
Washington Redskins,Dallas Cowboys,28,18,361,0,296,3
Houston Texans,Cincinnati Bengals,19,13,420,1,198,1
Green Bay Packers,Minnesota Vikings,24,10,326,0,324,3
Baltimore Ravens,Indianapolis Colts,24,9,439,2,419,2
Seattle Seahawks,Washington Redskins,24,14,380,1,203,2
Baltimore Ravens,Denver Broncos,38,35,479,1,398,3
San Francisco 49ers,Green Bay Packers,45,31,579,1,352,2
Atlanta Falcons,Seattle Seahawks,30,28,417,2,491,2
New England Patriots,Houston Texans,41,28,457,0,425,1
San Francisco 49ers,Atlanta Falcons,28,24,373,1,477,2
Baltimore Ravens,New England Patriots,28,13,356,0,428,3
Baltimore Ravens,San Francisco 49ers,34,31,367,1,468,2
