Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Seattle Seahawks,Tampa Bay Buccaneers,27,24,415,3,350,0
New England Patriots,Pittsburgh Steelers,55,31,610,1,479,3
Cleveland Browns,Baltimore Ravens,24,18,315,1,278,2
Indianapolis Colts,Houston Texans,27,24,314,0,483,0
Chicago Bears,Green Bay Packers,27,20,442,0,312,1
Minnesota Vikings,Washington Redskins,34,27,307,1,433,0
Jacksonville Jaguars,Tennessee Titans,29,27,214,2,362,4
Philadelphia Eagles,Green Bay Packers,27,13,415,1,396,2
Pittsburgh Steelers,Buffalo Bills,23,10,300,1,227,1
Baltimore Ravens,Cincinnati Bengals,20,17,189,3,364,3
Detroit Lions,Chicago Bears,21,19,364,1,338,1
St. Louis Rams,Indianapolis Colts,38,8,372,1,406,5
New York Giants,Oakland Raiders,24,20,251,3,213,2
Seattle Seahawks,Atlanta Falcons,33,10,490,0,226,1
Carolina Panthers,San Francisco 49ers,10,9,250,2,151,2
Denver Broncos,San Diego Chargers,28,20,397,1,329,0
Arizona Cardinals,Houston Texans,27,24,332,3,235,1
New Orleans Saints,Dallas Cowboys,49,17,625,1,193,0
Tampa Bay Buccaneers,Miami Dolphins,22,19,264,1,213,1
Indianapolis Colts,Tennessee Titans,30,27,366,0,340,1
Pittsburgh Steelers,Detroit Lions,37,27,398,0,451,3
Chicago Bears,Baltimore Ravens,23,20,319,0,317,2
Philadelphia Eagles,Washington Redskins,24,16,402,0,427,2
Buffalo Bills,New York Jets,37,14,313,0,267,4
Cincinnati Bengals,Cleveland Browns,41,20,224,2,330,4
Oakland Raiders,Houston Texans,28,23,341,0,394,2
Tampa Bay Buccaneers,Atlanta Falcons,41,28,410,0,420,3
Arizona Cardinals,Jacksonville Jaguars,27,14,416,0,274,2
Miami Dolphins,San Diego Chargers,20,16,343,1,435,1
New Orleans Saints,San Francisco 49ers,23,20,387,3,196,1
New York Giants,Green Bay Packers,27,13,334,1,394,3
Seattle Seahawks,Minnesota Vikings,41,20,323,0,336,4
Denver Broncos,Kansas City Chiefs,27,17,427,1,344,1
Carolina Panthers,New England Patriots,24,20,300,0,390,2
New Orleans Saints,Atlanta Falcons,17,13,374,0,355,1
St. Louis Rams,Chicago Bears,42,21,406,0,424,3
Minnesota Vikings,Green Bay Packers,26,26,447,1,494,0
Jacksonville Jaguars,Houston Texans,13,6,333,0,218,1
Baltimore Ravens,New York Jets,19,3,312,1,220,3
Carolina Panthers,Miami Dolphins,20,16,295,1,332,1
San Diego Chargers,Kansas City Chiefs,41,38,491,0,395,2
Tampa Bay Buccaneers,Detroit Lions,24,21,229,0,390,5
Pittsburgh Steelers,Cleveland Browns,27,11,302,0,367,4
Arizona Cardinals,Indianapolis Colts,40,11,410,0,239,1
Tennessee Titans,Oakland Raiders,23,19,426,0,353,2
Dallas Cowboys,New York Giants,24,21,311,1,356,1
New England Patriots,Denver Broncos,34,31,440,3,412,4
San Francisco 49ers,Washington Redskins,27,6,304,1,190,1
Detroit Lions,Green Bay Packers,40,10,561,4,126,3
Dallas Cowboys,Oakland Raiders,31,24,352,1,305,2
Baltimore Ravens,Pittsburgh Steelers,22,20,311,0,329,0
Jacksonville Jaguars,Cleveland Browns,32,28,314,1,439,3
Philadelphia Eagles,Arizona Cardinals,24,21,307,0,350,3
Miami Dolphins,New York Jets,23,3,453,1,177,3
Indianapolis Colts,Tennessee Titans,22,14,264,1,347,4
New England Patriots,Houston Texans,34,31,453,1,385,1
Carolina Panthers,Tampa Bay Buccaneers,27,6,426,2,206,2
Minnesota Vikings,Chicago Bears,23,20,496,1,480,1
Atlanta Falcons,Buffalo Bills,34,31,423,1,405,2
San Francisco 49ers,St. Louis Rams,23,13,338,1,312,1
Cincinnati Bengals,San Diego Chargers,17,10,354,2,334,3
Denver Broncos,Kansas City Chiefs,35,28,535,2,452,1
New York Giants,Washington Redskins,24,17,286,1,323,1
Seattle Seahawks,New Orleans Saints,34,7,429,0,188,1
Jacksonville Jaguars,Houston Texans,27,20,281,0,406,2
Tampa Bay Buccaneers,Buffalo Bills,27,6,246,2,214,5
New York Jets,Oakland Raiders,37,27,352,1,383,1
Philadelphia Eagles,Detroit Lions,34,20,478,1,231,3
New England Patriots,Cleveland Browns,27,26,484,2,494,0
Cincinnati Bengals,Indianapolis Colts,42,28,430,0,389,0
Miami Dolphins,Pittsburgh Steelers,34,28,367,1,412,1
Green Bay Packers,Atlanta Falcons,22,21,334,2,285,2
Kansas City Chiefs,Washington Redskins,45,10,346,1,257,2
Baltimore Ravens,Minnesota Vikings,29,26,325,3,379,1
Denver Broncos,Tennessee Titans,51,28,551,0,254,2
San Diego Chargers,New York Giants,37,14,388,1,333,3
Arizona Cardinals,St. Louis Rams,30,10,369,1,257,2
San Francisco 49ers,Seattle Seahawks,19,17,318,1,264,1
New Orleans Saints,Carolina Panthers,31,13,373,0,239,0
Chicago Bears,Dallas Cowboys,45,28,490,0,328,0
San Diego Chargers,Denver Broncos,27,20,337,0,295,1
San Francisco 49ers,Tampa Bay Buccaneers,33,14,376,0,183,2
Buffalo Bills,Jacksonville Jaguars,27,20,366,2,354,4
Indianapolis Colts,Houston Texans,25,3,331,1,239,2
Minnesota Vikings,Philadelphia Eagles,48,30,455,1,475,1
Miami Dolphins,New England Patriots,24,20,378,1,453,1
Atlanta Falcons,Washington Redskins,27,26,243,2,476,7
Seattle Seahawks,New York Giants,23,0,327,1,181,5
Chicago Bears,Cleveland Browns,38,31,440,3,366,2
Carolina Panthers,New York Jets,30,20,392,0,297,1
Kansas City Chiefs,Oakland Raiders,56,31,384,1,461,7
Green Bay Packers,Dallas Cowboys,37,36,433,1,466,2
St. Louis Rams,New Orleans Saints,27,16,302,0,432,3
Arizona Cardinals,Tennessee Titans,37,34,360,0,460,3
Pittsburgh Steelers,Cincinnati Bengals,30,20,290,1,279,1
Baltimore Ravens,Detroit Lions,18,16,305,0,349,3
St. Louis Rams,Tampa Bay Buccaneers,23,13,277,2,170,2
Cincinnati Bengals,Minnesota Vikings,42,14,426,1,209,4
Denver Broncos,Houston Texans,37,13,511,0,240,2
Tennessee Titans,Jacksonville Jaguars,20,16,346,1,289,1
Buffalo Bills,Miami Dolphins,19,0,390,1,103,2
New York Jets,Cleveland Browns,24,13,422,0,283,2
Indianapolis Colts,Kansas City Chiefs,23,7,367,0,287,3
Dallas Cowboys,Washington Redskins,24,23,309,2,297,1
Carolina Panthers,New Orleans Saints,17,13,222,1,365,2
New York Giants,Detroit Lions,23,20,279,2,355,3
Arizona Cardinals,Seattle Seahawks,17,10,307,4,192,2
San Diego Chargers,Oakland Raiders,26,13,344,3,265,2
Pittsburgh Steelers,Green Bay Packers,38,31,343,2,370,2
New England Patriots,Baltimore Ravens,41,7,300,0,358,4
Philadelphia Eagles,Chicago Bears,54,11,514,1,257,2
San Francisco 49ers,Atlanta Falcons,34,24,379,0,402,2
Pittsburgh Steelers,Cleveland Browns,20,7,292,2,293,2
Tennessee Titans,Houston Texans,16,10,311,1,288,4
New York Jets,Miami Dolphins,20,7,374,0,296,3
Indianapolis Colts,Jacksonville Jaguars,30,10,379,0,350,2
Cincinnati Bengals,Baltimore Ravens,34,17,392,4,222,3
New York Giants,Washington Redskins,20,6,278,3,251,4
Minnesota Vikings,Detroit Lions,14,13,345,2,245,0
Carolina Panthers,Atlanta Falcons,21,20,283,2,307,1
New England Patriots,Buffalo Bills,34,20,382,1,393,0
Green Bay Packers,Chicago Bears,33,28,473,2,345,2
San Francisco 49ers,Arizona Cardinals,23,20,375,0,482,2
Denver Broncos,Oakland Raiders,34,14,458,0,255,1
New Orleans Saints,Tampa Bay Buccaneers,42,17,468,0,290,1
Seattle Seahawks,St. Louis Rams,27,9,269,0,158,2
San Diego Chargers,Kansas City Chiefs,27,24,405,1,332,0
Philadelphia Eagles,Dallas Cowboys,24,22,366,1,414,3
Indianapolis Colts,Kansas City Chiefs,45,44,536,4,513,1
New Orleans Saints,Philadelphia Eagles,26,24,434,2,256,0
San Diego Chargers,Cincinnati Bengals,27,10,318,0,439,4
San Francisco 49ers,Green Bay Packers,23,20,381,1,281,0
Seattle Seahawks,New Orleans Saints,23,15,277,0,409,1
New England Patriots,Indianapolis Colts,43,22,419,0,386,4
San Francisco 49ers,Carolina Panthers,23,10,315,0,325,2
Denver Broncos,San Diego Chargers,24,17,363,2,259,0
Denver Broncos,New England Patriots,26,16,507,0,320,0
Seattle Seahawks,San Francisco 49ers,23,17,308,1,308,3
Seattle Seahawks,Denver Broncos,43,8,341,0,306,4
